City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Castelo Do Piaui,BR,-5.3222,-41.5525,82.74,72,19,2.04,few clouds
166,Lavrentiya,RU,65.5833,-171.0,1.92,71,1,7.43,clear sky
167,Laguna,US,38.421,-121.4238,55.69,83,75,8.05,broken clouds
168,Okhtyrka,UA,50.3104,34.8988,30.88,71,100,2.42,overcast clouds
169,Kapaa,US,22.0752,-159.319,73.72,78,40,11.5,scattered clouds
170,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,24.16,scattered clouds
171,San Cristobal,VE,7.7669,-72.225,69.98,84,100,1.92,overcast clouds
172,Usak,TR,38.5,29.4167,35.58,32,61,7.81,broken clouds
173,Zhovtneve,UA,50.6637,24.2492,37.69,58,97,6.91,overcast clouds
174,Rabo De Peixe,PT,37.8,-25.5833,58.51,85,20,11.5,few clouds
175,Matveyev Kurgan,RU,47.5645,38.8695,29.88,38,54,7.49,broken clouds
176,Ruse,BG,43.8564,25.9708,42.78,33,62,3.47,broken clouds
177,Tessalit,ML,20.1986,1.0114,91.02,5,0,6.78,clear sky
178,Walvis Bay,NA,-22.9575,14.5053,69.1,66,100,20.94,overcast clouds
179,Nioki,CD,-2.7167,17.6833,88.99,47,74,5.88,broken clouds
180,Saint-Francois,FR,46.4154,3.9054,53.04,59,100,14.97,light rain
181,Chokurdakh,RU,70.6333,147.9167,-10.55,91,100,5.68,overcast clouds
182,Boditi,ET,6.9667,37.8667,86.27,14,79,6.49,broken clouds
183,Sisimiut,GL,66.9395,-53.6735,-1.26,91,100,3.27,overcast clouds
184,Itacare,BR,-14.2775,-38.9967,84.45,61,99,5.93,light rain
185,Lazaro Cardenas,MX,17.9583,-102.2,67.6,75,0,3.56,clear sky
186,Zhigansk,RU,66.7697,123.3711,-17.55,100,86,9.15,overcast clouds
187,Abu Samrah,SY,35.3029,37.1841,40.69,87,100,7.0,overcast clouds
188,Vardo,NO,70.3705,31.1107,32.49,79,49,11.7,scattered clouds
189,Mandapam,IN,9.2833,79.1167,82.31,71,100,20.36,overcast clouds
190,Te Anau,NZ,-45.4167,167.7167,50.72,92,3,0.87,clear sky
191,Kisangani,CD,0.5167,25.2,88.05,47,100,2.89,overcast clouds
192,Ilulissat,GL,69.2167,-51.1,3.22,60,100,8.05,overcast clouds
193,Malacacheta,BR,-17.8422,-42.0767,77.88,67,100,2.91,overcast clouds
194,Corn Island,NI,12.1694,-83.0418,80.44,79,1,17.74,clear sky
195,Talnakh,RU,69.4865,88.3972,-17.18,91,95,6.42,overcast clouds
196,Hami,CN,42.8,93.45,57.31,26,99,7.99,overcast clouds
197,Nizwa,OM,22.9333,57.5333,93.15,16,0,9.42,clear sky
198,Kondinskoye,RU,59.6481,67.41,4.89,95,100,4.45,overcast clouds
199,Deputatskiy,RU,69.3,139.9,-17.73,100,100,1.03,overcast clouds
200,Gimli,CA,50.6336,-96.9907,5.02,85,47,10.36,scattered clouds
201,Iranshahr,IR,27.2025,60.6848,95.34,13,0,11.5,clear sky
202,Aykhal,RU,66.0,111.5,-20.13,100,100,1.9,overcast clouds
203,Teya,RU,60.3778,92.6267,-9.2,100,98,2.21,overcast clouds
204,Kungurtug,RU,50.5994,97.5228,14.16,96,99,1.86,overcast clouds
205,Uttaradit,TH,17.6667,100.5,89.46,36,100,2.86,overcast clouds
206,Numaligarh,IN,26.6333,93.75,81.59,23,100,0.78,overcast clouds
207,Okahandja,NA,-21.9833,16.9167,74.52,58,100,18.54,light rain
208,Hilo,US,19.7297,-155.09,70.61,72,75,6.91,light rain
209,Lewiston,US,44.1003,-70.2148,25.36,66,0,20.71,clear sky
210,Mikkeli,FI,61.6886,27.2723,44.71,36,0,5.75,clear sky
211,Micula,RO,47.9,22.95,48.16,35,0,2.66,clear sky
212,Upernavik,GL,72.7868,-56.1549,-7.78,92,100,7.87,overcast clouds
213,Maniwaki,CA,46.3834,-75.966,8.98,66,96,6.91,overcast clouds
214,Kochki,RU,54.3358,80.4806,8.85,84,87,17.22,overcast clouds
215,Sept-Iles,CA,50.2001,-66.3821,12.06,68,75,19.57,broken clouds
216,Mahajanga,MG,-15.7167,46.3167,89.62,58,20,8.05,few clouds
217,Ancud,CL,-41.8697,-73.8203,52.47,60,95,2.55,overcast clouds
218,Kaeo,NZ,-35.1,173.7833,64.33,90,89,6.62,overcast clouds
219,Sauda,NO,59.6506,6.3542,41.76,90,100,8.86,light rain
220,Faya,SA,18.3851,42.4509,75.31,45,3,10.87,clear sky
221,Teruel,ES,40.6667,-0.6667,47.05,41,13,11.5,few clouds
222,Hofn,IS,64.2539,-15.2082,35.62,80,20,9.22,few clouds
223,Leshukonskoye,RU,64.8989,45.7622,26.2,87,100,9.17,overcast clouds
224,Fengzhen,CN,40.4394,113.1536,50.79,38,100,19.01,overcast clouds
225,Berezhany,UA,49.45,24.9333,34.66,63,99,5.14,overcast clouds
226,Lahat,ID,-3.8,103.5333,75.11,98,100,2.82,light rain
227,Leningradskiy,RU,69.3833,178.4167,-14.4,96,68,5.93,broken clouds
228,San Pedro,PH,14.35,121.0167,81.63,80,40,9.22,scattered clouds
229,Broken Hill,AU,-31.95,141.4333,80.31,36,40,10.36,scattered clouds
230,Nome,US,64.5011,-165.4064,23.07,23,0,21.85,clear sky
231,Klaksvik,FO,62.2266,-6.589,45.52,92,100,24.23,overcast clouds
232,Sambava,MG,-14.2667,50.1667,78.48,82,100,10.92,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,79.21,82,59,1.3,broken clouds
234,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,59,75,4.47,broken clouds
235,Pangai,TO,-19.8,-174.35,81.54,75,0,6.85,light rain
236,Palmer,US,42.1584,-72.3287,24.51,55,20,12.66,few clouds
237,Longyearbyen,SJ,78.2186,15.6401,21.04,86,0,1.14,clear sky
238,Synya,RU,65.3718,58.0387,22.71,92,100,5.59,overcast clouds
