City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Ambovombe,MG,74.23,clear sky,-25.1667,46.0833,
540,San Carlos De Bariloche,AR,73.15,few clouds,-41.1456,-71.3082,
541,Kulhudhuffushi,MV,82.15,clear sky,6.6221,73.07,
544,Wagar,SD,74.86,overcast clouds,16.1525,36.2032,
547,Ranong,TH,76.68,overcast clouds,9.9658,98.6348,
548,Kapit,MY,73.51,broken clouds,2.0167,112.9333,
552,Niamtougou,TG,84.04,clear sky,9.7681,1.1053,
555,Carupano,VE,81.03,few clouds,10.6678,-63.2585,
556,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,
557,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,
560,Playas,EC,82.09,light rain,-2.6333,-80.3833,
561,Waw,SS,84.18,broken clouds,7.7029,27.9953,
562,Kirakira,SB,79.93,overcast clouds,-10.4544,161.9205,
564,Madang,PG,76.14,broken clouds,-5.2246,145.7966,
566,Port Blair,IN,79.79,scattered clouds,11.6667,92.75,
567,Sulangan,PH,81.14,overcast clouds,11.1373,123.7228,
568,Richards Bay,ZA,74.08,clear sky,-28.783,32.0377,
574,Cartagena Del Chaira,CO,77.74,light rain,1.3349,-74.8429,
576,Sao Felix Do Xingu,BR,79.02,heavy intensity rain,-6.6447,-51.995,
577,Orizona,BR,75.78,moderate rain,-17.0314,-48.2958,
579,Mbini,GQ,78.64,moderate rain,1.574,9.6134,
580,Tres Arroyos,AR,77.07,scattered clouds,-38.3739,-60.2798,
581,Dingle,PH,75.85,scattered clouds,10.9995,122.6711,
583,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,
584,Calvillo,MX,79.74,clear sky,21.85,-102.7167,
588,Mitsamiouli,KM,80.69,broken clouds,-11.3847,43.2844,
589,Goure,NE,81.01,broken clouds,13.9835,10.2704,
590,Kaduna,NG,80.42,overcast clouds,10.5222,7.4383,
592,La Trinitaria,MX,79.25,broken clouds,16.1167,-92.05,
593,Eyl,SO,75.76,overcast clouds,7.9803,49.8164,
595,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,
596,Itambacuri,BR,76.01,few clouds,-18.0311,-41.685,
598,Kokopo,PG,77.74,scattered clouds,-4.352,152.2633,
601,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,
602,Tevaitoa,PF,81.77,broken clouds,-16.7833,-151.5,
603,Acopiara,BR,76.91,overcast clouds,-6.0953,-39.4525,
605,Atambua,ID,73.76,overcast clouds,-9.1061,124.8925,
608,Obera,AR,78.93,scattered clouds,-27.4871,-55.1199,
611,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,
618,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,
619,Sampit,ID,74.14,broken clouds,-2.5333,112.95,
621,Bac Lieu,VN,78.62,broken clouds,9.285,105.7244,
622,Porto Seguro,BR,81.12,scattered clouds,-16.4497,-39.0647,
623,Sonamukhi,IN,72.34,clear sky,23.3,87.4167,
624,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,
625,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,
628,Sanguem,IN,80.08,clear sky,15.2333,74.1667,
629,Simpang Empat,MY,74.68,scattered clouds,4.95,100.6333,
636,Guanica,PR,81.7,overcast clouds,17.9716,-66.908,
639,Namibe,AO,74.28,overcast clouds,-15.1961,12.1522,
640,Perth,AU,74.08,overcast clouds,-31.9333,115.8333,
659,Abu Zabad,SD,74.39,overcast clouds,12.35,29.25,
663,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,
666,Kudahuvadhoo,MV,82.08,clear sky,2.6708,72.8944,
667,Raipur,IN,72.95,clear sky,21.2333,81.6333,
668,Toamasina,MG,75.2,scattered clouds,-18.1667,49.3833,
671,Bogande,BF,89.78,scattered clouds,12.9714,-0.1436,
672,Domoni,KM,79.12,overcast clouds,-12.2569,44.5319,
673,Mookane,BW,73.92,scattered clouds,-23.688,26.6595,
677,Ugoofaaru,MV,82.26,clear sky,5.6667,73.0,
680,Ambulu,ID,75.88,overcast clouds,-8.345,113.6058,
682,Presidencia Roque Saenz Pena,AR,80.17,overcast clouds,-26.7852,-60.4388,
